2025-05-16 23:29:22,537 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 21:44:22 UTC)" executed successfully
2025-05-16 23:44:22,495 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 21:59:22 UTC)" (scheduled at 2025-05-16 21:44:22.476883+00:00)
2025-05-16 23:44:22,498 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 21:59:22 UTC)" executed successfully
2025-05-16 23:59:22,510 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:14:22 UTC)" (scheduled at 2025-05-16 21:59:22.476883+00:00)
2025-05-16 23:59:22,514 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:14:22 UTC)" executed successfully
2025-05-17 00:14:22,501 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:29:22 UTC)" (scheduled at 2025-05-16 22:14:22.476883+00:00)
2025-05-17 00:14:22,504 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:29:22 UTC)" executed successfully
2025-05-17 00:29:22,480 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:44:22 UTC)" (scheduled at 2025-05-16 22:29:22.476883+00:00)
2025-05-17 00:29:22,484 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:44:22 UTC)" executed successfully
2025-05-17 00:44:22,492 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:59:22 UTC)" (scheduled at 2025-05-16 22:44:22.476883+00:00)
2025-05-17 00:44:22,494 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 22:59:22 UTC)" executed successfully
2025-05-17 00:59:22,480 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:14:22 UTC)" (scheduled at 2025-05-16 22:59:22.476883+00:00)
2025-05-17 00:59:22,483 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:14:22 UTC)" executed successfully
2025-05-17 01:14:22,482 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:29:22 UTC)" (scheduled at 2025-05-16 23:14:22.476883+00:00)
2025-05-17 01:14:22,483 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:29:22 UTC)" executed successfully
2025-05-17 01:29:22,502 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:44:22 UTC)" (scheduled at 2025-05-16 23:29:22.476883+00:00)
2025-05-17 01:29:22,508 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:44:22 UTC)" executed successfully
2025-05-17 01:44:22,486 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:59:22 UTC)" (scheduled at 2025-05-16 23:44:22.476883+00:00)
2025-05-17 01:44:22,489 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-16 23:59:22 UTC)" executed successfully
2025-05-17 01:59:22,518 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:14:22 UTC)" (scheduled at 2025-05-16 23:59:22.476883+00:00)
2025-05-17 01:59:22,520 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:14:22 UTC)" executed successfully
2025-05-17 02:14:22,486 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:29:22 UTC)" (scheduled at 2025-05-17 00:14:22.476883+00:00)
2025-05-17 02:14:22,488 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:29:22 UTC)" executed successfully
2025-05-17 02:29:22,487 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:44:22 UTC)" (scheduled at 2025-05-17 00:29:22.476883+00:00)
2025-05-17 02:29:22,489 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:44:22 UTC)" executed successfully
2025-05-17 02:44:22,479 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:59:22 UTC)" (scheduled at 2025-05-17 00:44:22.476883+00:00)
2025-05-17 02:44:22,483 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 00:59:22 UTC)" executed successfully
2025-05-17 02:59:22,480 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:14:22 UTC)" (scheduled at 2025-05-17 00:59:22.476883+00:00)
2025-05-17 02:59:22,483 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:14:22 UTC)" executed successfully
2025-05-17 03:14:22,488 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:29:22 UTC)" (scheduled at 2025-05-17 01:14:22.476883+00:00)
2025-05-17 03:14:22,491 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:29:22 UTC)" executed successfully
2025-05-17 03:29:22,485 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:44:22 UTC)" (scheduled at 2025-05-17 01:29:22.476883+00:00)
2025-05-17 03:29:22,487 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:44:22 UTC)" executed successfully
2025-05-17 03:44:22,528 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:59:22 UTC)" (scheduled at 2025-05-17 01:44:22.476883+00:00)
2025-05-17 03:44:22,531 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 01:59:22 UTC)" executed successfully
2025-05-17 03:59:22,493 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:14:22 UTC)" (scheduled at 2025-05-17 01:59:22.476883+00:00)
2025-05-17 03:59:22,495 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:14:22 UTC)" executed successfully
2025-05-17 04:00:00,012 | INFO     | Running job "daily_rebalance (trigger: cron[hour='2', minute='0'], next run at: 2025-05-18 02:00:00 UTC)" (scheduled at 2025-05-17 02:00:00+00:00)
2025-05-17 04:00:00,015 | INFO     | === Daily Rebalance ===
2025-05-17 04:00:03,256 | INFO     | ML probability = 0.00
2025-05-17 04:00:03,258 | INFO     | ML red - flatten
2025-05-17 04:00:03,258 | INFO     | Job "daily_rebalance (trigger: cron[hour='2', minute='0'], next run at: 2025-05-18 02:00:00 UTC)" executed successfully
2025-05-17 04:14:22,500 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:29:22 UTC)" (scheduled at 2025-05-17 02:14:22.476883+00:00)
2025-05-17 04:14:22,503 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:29:22 UTC)" executed successfully
2025-05-17 04:29:22,481 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:44:22 UTC)" (scheduled at 2025-05-17 02:29:22.476883+00:00)
2025-05-17 04:29:22,483 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:44:22 UTC)" executed successfully
2025-05-17 04:44:22,487 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:59:22 UTC)" (scheduled at 2025-05-17 02:44:22.476883+00:00)
2025-05-17 04:44:22,490 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 02:59:22 UTC)" executed successfully
2025-05-17 04:59:22,490 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:14:22 UTC)" (scheduled at 2025-05-17 02:59:22.476883+00:00)
2025-05-17 04:59:22,493 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:14:22 UTC)" executed successfully
2025-05-17 05:14:22,478 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:29:22 UTC)" (scheduled at 2025-05-17 03:14:22.476883+00:00)
2025-05-17 05:14:22,481 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:29:22 UTC)" executed successfully
2025-05-17 05:29:22,503 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:44:22 UTC)" (scheduled at 2025-05-17 03:29:22.476883+00:00)
2025-05-17 05:29:22,505 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:44:22 UTC)" executed successfully
2025-05-17 05:44:22,490 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:59:22 UTC)" (scheduled at 2025-05-17 03:44:22.476883+00:00)
2025-05-17 05:44:22,493 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 03:59:22 UTC)" executed successfully
2025-05-17 05:59:22,501 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:14:22 UTC)" (scheduled at 2025-05-17 03:59:22.476883+00:00)
2025-05-17 05:59:22,503 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:14:22 UTC)" executed successfully
2025-05-17 06:14:22,486 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:29:22 UTC)" (scheduled at 2025-05-17 04:14:22.476883+00:00)
2025-05-17 06:14:22,490 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:29:22 UTC)" executed successfully
2025-05-17 06:29:22,494 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:44:22 UTC)" (scheduled at 2025-05-17 04:29:22.476883+00:00)
2025-05-17 06:29:22,497 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:44:22 UTC)" executed successfully
2025-05-17 06:44:22,494 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:59:22 UTC)" (scheduled at 2025-05-17 04:44:22.476883+00:00)
2025-05-17 06:44:22,496 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 04:59:22 UTC)" executed successfully
2025-05-17 06:59:22,480 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:14:22 UTC)" (scheduled at 2025-05-17 04:59:22.476883+00:00)
2025-05-17 06:59:22,483 | INFO     | Job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:14:22 UTC)" executed successfully
2025-05-17 07:14:22,491 | INFO     | Running job "monitor_breakouts (trigger: interval[0:15:00], next run at: 2025-05-17 05:29:22 UTC)" (scheduled at 2025-05-17 05:14:22.476883+00:00)
